year	round	plotid	plant	VWC.plant	VWC.sm	photosynthesis	conductance	WUE	flowered	survived	RGR
2019	2019-08-09	3B	624	8.9	3.1999999999999997	12.4345	0.60421	20.442	0	0	
2019	2019-08-09	3C	129	13.3	5.3	92.9856		52.72	0	0	
2019	2019-08-09	3D	891	10.7	3.1	39.3031	0.86522	45.47	0	1	-0.2552796407656398
2019	2019-08-09	4A	116	8	4.3	1.5873	0.30511	5.192	1	1	
2019	2019-08-09	4B	214	3.7	2.6	38.7324	0.39714	97.528	0	1	0.0959243069891152
2019	2019-08-09	4C	30	4.7	3.96	25.8974	0.65609	40.222	0	0	
2019	2019-08-09	4D	28	3.1	1.98	17.9199	0.12555	142.69	0	1	-1.2325140876388774
2019	2019-08-09	5A	196	15.6	5.58	4.294	0.04528	94.769	1	1	
2019	2019-08-09	5B	7	4.1	3.8000000000000003	34.2516	0.84024	41.412	0	1	
2019	2019-08-09	5C	207	2.9	1.7	4.0073	0.119	33.628	1	1	
2019	2019-08-09	5D	281	5	1.92	10.4628	0.17101	61.187	0	1	-0.13800733392203696
2019	2019-08-09	6A	165	6.5	3.68	30.5157	0.42092	72.509	1	1	
2019	2019-08-09	6B	31	4.2	1.8	77.7857	0.66749	116.531	0	0	
2019	2019-08-09	6C	86	2.6	3.12	2.4546	0.03146	77.793	1	1	
2019	2019-08-09	6D	64	12.6	4.4	20.0057	0.66318	30.166	1	1	
2019	2019-08-12	1A	222		5.5	44.5513	0.27205	163.86	0	0	
2019	2019-08-12	1B	662	7.5		30.4781	0.38883	78.356	0	1	
2019	2019-08-12	1C	60	3.7		16.8459	0.42242	39.951	1	1	
2019	2019-08-12	1D	9	9.5	3.3	11.9578	0.26125	45.785	1	1	
2019	2019-08-12	2A	164	6.5	3.92	17.2109	0.34446	49.965	0	0	
2019	2019-08-12	2B	85	4.5	3.3	37.7484	0.45229	83.475	1	1	
2019	2019-08-12	2C	299	6.4	3.2199999999999998	3.9556	0.02029	194.765	0	0	
2019	2019-08-12	2D	219	15.2	5.52	12.2121	0.22567	54.14	1	1	
2019	2019-08-12	3B	621	10.4	3.1999999999999997	51.0227	0.90069	56.707	1	1	
2019	2019-08-12	3C	126	18.7	5.3	18.5304	0.54186	34.238	1	1	
2019	2019-08-12	3D	888	7.4	3.1	5.7275	0.07486	76.579	0	1	
2019	2019-08-12	4A	113	12.8	4.3	39.0743	0.37751	103.536	0	0	
2019	2019-08-12	4B	163	7.9	2.6	39.2123	0.49278	79.578	0	0	
2019	2019-08-12	4C	189	8.6	3.96	19.8476	0.50259	39.495	0	0	
2019	2019-08-12	4D	47	5.3	1.98	19.8248	0.48102	41.244	1	1	
2019	2019-08-12	5A	185	19.6	5.58	9.83425	0.17281	55.775	1	1	
2019	2019-08-12	5B	12	6	3.8000000000000003	11.3994	0.29349	38.844	1	1	
2019	2019-08-12	5C	218	10.5	1.7	11.8051	0.166865	119.972	0	0	
2019	2019-08-12	5D	275	5.4	1.92	17.5858	0.2601	69.663	1	1	
2019	2019-08-12	6A	169	9.7	3.68	46.6028	0.7807	59.697	1	1	
2019	2019-08-12	6B	22	5.8	1.8	26.9637	0.44213	61.001	0	1	-1.4484650538356316
2019	2019-08-12	6C	81	4.1	3.12	24.2359	0.21583	112.3	0	1	
2019	2019-08-12	6D	57	20.1	4.4	16.2571	0.46174	35.211	0	1	0.0807942816292801
2019	2019-08-13	1A	225	11.8	5.5	35.7307	0.21724	164.734	0	1	1.0138833080385496
2019	2019-08-13	1B	650	11.3		36.0322	0.74728000000000006	48.226	1	1	
2019	2019-08-13	1C	57	8.9		59.2348	0.7668	77.22	0	1	1.1895389727962615
2019	2019-08-13	1D	20	5.6	3.3	10.7936	0.26545	40.668	1	1	
2019	2019-08-13	2A	685	5.7	3.92	10.8629	0.18545	58.571	1	1	
2019	2019-08-13	2B	138	2.4	3.3	30.7336	0.50872	60.403	1	1	
2019	2019-08-13	2C	293	5.9	3.2199999999999998	11.1737	0.120675	103.212	1	1	
2019	2019-08-13	2D	210	12.8	5.52	61.2652	0.98886	59.878	1	1	
2019	2019-08-13	3A	129	5.9	3.14	21.3426	0.25688	83.078	0	1	
2019	2019-08-13	3B	838	7.6	3.1999999999999997	19.8704	0.47437	41.889	1	1	
2019	2019-08-13	3C	123	9.2	5.3	1.0754	0.19745	5.446	0	0	
2019	2019-08-13	3D	894	2.6	3.1	8.9729	0.37208	24.117	1	1	
2019	2019-08-13	4A	71	9.7	4.3	21.6074	0.37202	58.13	0	0	
2019	2019-08-13	4B	206	4.1	2.6	4.6526	0.10397	44.735	0	0	
2019	2019-08-13	4C	630	5.1	3.96	11.194	0.14451	77.535	0	1	-2.281810527917933
2019	2019-08-13	4D	49	4.8	1.98	65.2322		56.499	1	1	
2019	2019-08-13	5B	287	7.1	3.8000000000000003	16.1869	0.24368	66.426			
2019	2019-08-13	5D	250	7.8	1.92	59.5371	0.91226	65.267	1	1	
2019	2019-08-13	6A	150	5.1	3.68	20.2505	0.36754	55.095	0	1	0.6696678749897534
2019	2019-08-13	6C	113	8.6	3.12	17.191	0.51644	33.305	1	1	
2019	2019-08-13	6D	56	15.9	4.4	28.71875	0.589105	49.015	1	1	
2019	2019-08-14	1A	230	12.5	5.5	8.3685	0.17352	48.225	1	1	
2019	2019-08-14	1B	647	4.8		14.9433	0.28382	54.421	0	1	0.33848235147513195
2019	2019-08-14	1C	54	5.1		14.7287	0.2364	62.312	1	1	
2019	2019-08-14	1D	41	2.9	3.3	19.5075	0.24206	80.589	0	1	0.4901876411809281
2019	2019-08-14	2A	164	4.2	3.92	20.0338	0.35423	56.628	0	0	
2019	2019-08-14	2B	86	6.2	3.3	16.4671	0.18349	89.721	1	1	
2019	2019-08-14	2D	184	10.6	5.52	14.5762	0.17366	84.017	0	1	1.194020268016862
2019	2019-08-14	3A	655	5.9	3.14	7.3697	0.15971	46.146	0	0	
2019	2019-08-14	3A	658	0.9	3.14	8.6522	0.08932	96.793	0	1	
2019	2019-08-14	3B	619	6.7	3.1999999999999997	15.5774	0.21201	74.198	0	0	
2019	2019-08-14	3C	208	2.5	5.3	4.8259	0.0368	131.445			
2019	2019-08-14	3D	881	6.4	3.1	21.7995	0.41562	52.447	1	1	
2019	2019-08-14	4A	62	7.1	4.3	20.6475	0.15306	134.796	0	0	
2019	2019-08-14	4B	211	4.6	2.6	34.11	0.62149	54.91	1	1	
2019	2019-08-14	4C	106	3.2	3.96	11.753	0.1081	108.778	0	1	
2019	2019-08-14	5A	195	16	5.58	20.3371	0.37879	53.729	0	1	
2019	2019-08-14	5A	198	10.2	5.58	21.917	0.29101	75.323			
2019	2019-08-14	5B	296	3.2	3.8000000000000003	11.4643	0.08089	141.748	1	1	
2019	2019-08-14	5C	202	3.1	1.7	19.8256	0.15034	131.892	1	1	
2019	2019-08-14	5C	211	1.5	1.7	20.1798	0.1338	150.962	1	1	
2019	2019-08-14	5D	289	4.7	1.92	40.2926	0.55413	72.772	0	0	
2019	2019-08-14	6A	153	4	3.68	18.1302	0.43984	41.358	0	0	
2019	2019-08-14	6B	21	4.8	1.8	32.5233	0.27308	120.196	1	1	1.4185498925672277
2019	2019-08-14	6C	116	7	3.12	24.3967	0.39164	62.306	1	1	
2020	2020-07-22	2B	93	3.4	4.3	21.215445126320255	0.12207966554614659	174.0235	1	1	
2020	2020-07-22	3A	129	2.4	5.22	13.388227728065896	0.06618141242360741	202.2959	0	1	
2020	2020-07-22	3D	845	3.6	4.78	9.958549812277418	0.08655575075981606	114.9572	0	1	-0.7764124363132539
2020	2020-07-22	4A	74_20	8.8	5.32	20.411913177976373	0.16606667938432346	122.9656	0	0	
2020	2020-07-22	4B	213	1.1	3.82	3.139052393542548	0.04512019582392765	69.09228	0	1	0.9551323412644466
2020	2020-07-22	4C	33	0.9	3.68	28.227761565653896	0.13626226676106673	207.1692	0	1	0.6459141225623363
2020	2020-07-22	5A	195	6.1	5.38	11.921393920050388	0.09151169579362631	132.2344	0	1	
2020	2020-07-22	5B	10	2.5	3.84	1.5730579091368444	0.013162113120607829	120.7607	0	1	1.0134454580037227
2020	2020-07-22	5C	203	1.9	4.5600000000000005	12.557633123446953	0.05550534274257231	226.2419	0	1	-0.4885968271893471
2020	2020-07-22	5D	235	2.5	3.78	9.163414648600405	0.04024586314034557	227.6859	0	1	0.3260494737810291
2020	2020-07-22	6B	22	0.8	3.62	28.327149802204058	0.14059016834623672	201.5856	0	0	
2020	2020-07-22	6C	82_20	0.5	3.94	4.427840494514381	0.023756250701909464	186.3863	0	0	
2020	2020-07-22	6D	57	3.9	5.76	30.66235689569548	0.23090033737945836	132.7381	0	1	-0.515298280627196
2020	2020-07-23	1A	225	4.5	6.66	17.001065946622692	0.11445272965052901	148.5422	0	1	0.17286927415018852
2020	2020-07-23	1B	669	2.1	4.78	7.200238502553772	0.03425900958864801	210.1707	0	1	1.0450305236422914
2020	2020-07-23	1C	55	2.9	4.66	20.841648806032357	0.10816238666757508	192.76	0	1	0.04167791116057764
2020	2020-07-23	1D	13_20	3.5	4.18	7.159420919914893	0.03611542626742587	198.2372	0	0	
2020	2020-07-23	2A	176	3.2	4.26	22.079406803529434	0.2048941691949542	112.7523	0	1	0.19161510772025012
2020	2020-07-23	2B	131	3.1	4.3	16.049202948822206	0.10125390311074356	159.5301	0	1	1.213926297875296
2020	2020-07-23	2D	216_20	5.5	6.38	20.551559944711236	0.12450436921199493	165.2723	0	0	
2020	2020-07-23	3A	634	3.6	5.22	15.290124627708106	0.06431272824509512	237.7465	0	0	
2020	2020-07-23	3B	608	2.5	3.78	7.515677750773939	0.039575430135296276	189.9077	0	0	
2020	2020-07-23	3C	162	3	5.279999999999999	22.354310516803203	0.13242316666473794	178.8608	1	1	
2020	2020-07-23	3D	890	2	4.78	11.893811424635576	0.0849557428409286	140.1657	0	1	-0.020639091059499907
2020	2020-07-23	4A	79	3	5.32	12.636703852879984	0.05566499212854947	227.0135			
2020	2020-07-23	4B	190	2.1	3.82	1.8080110280015214	0.009362051092217176	193.1213	1	1	
2020	2020-07-23	4C	28_20	2.3	3.68	36.92273793521598	0.17530620148541876	210.4534	0	0	
2020	2020-07-23	5D	281	3.4	3.78	12.71980719359059	0.1363617082089653	93.29248	0	1	0.33401928072521025
2020	2020-07-23	6A	154	5.1	4.16	17.33474104385244	0.10180055253642815	172.0151	0	0	
2020	2020-07-23	6B	10	0.8	3.62	5.058163635114547	0.02602744940733212	194.3396	0	1	
2020	2020-07-23	6C	110_20	4.5	3.94	19.290942681702525	0.09209238864225869	212.5157	0	0	
2020	2020-07-29	1A	225	16.7	16.34	16.385419538745538	0.23854829134168964	68.65064	0	1	0.17286927415018852
2020	2020-07-29	1B	662	8.9	10.84	22.351348618458772	0.13352807871789288	167.369	0	1	
2020	2020-07-29	1C	76	5.1	12.04	19.934493229545886	0.14129312533072463	146.1053			
2020	2020-07-29	1D	16	5.2	7.54	16.876812316501113	0.08913640457748052	189.7351	0	1	-1.252604720487629
2020	2020-07-29	2A	176	9.5	10.36	42.48161079804585	0.41618905598838113	102.0779	0	1	0.19161510772025012
2020	2020-07-29	2B	137	7.2	11.68	19.730151167218523	0.12328374890484067	160.0692	0	1	-0.6981229919709052
2020	2020-07-29	2C	261	4.6	5.58	16.38409885834018	0.10559449310075213	155.1851	0	1	-3.0448727915882547
2020	2020-07-29	2D	184	10.3	16.66	37.706164833175436	0.29412052780372067	128.2337	1	1	
2020	2020-07-29	3A	650	3.8	6.68	12.055475491875313	0.059965571367709795	201.04	0	1	1.1398651194894585
2020	2020-07-29	3B	610	9.5	10.54	7.148750352094925	0.03613339054845979	196.9124	0	1	-1.1419187513640023
2020	2020-07-29	3C	162	12.2	12.959999999999999	11.855916315640956	0.1425729768825574	82.4988	1	1	
2020	2020-07-29	3D	888	5.8	10.76	25.017761812388404	0.6276627784469444	44.3933	1	1	
2020	2020-07-29	4A	60_20	10.4	14.9	19.75043317478933	0.1588806398509901	124.4382	0	0	
2020	2020-07-29	4B	214	5.6	9.02	10.821704694022195	0.10422341429486134	103.8315			
2020	2020-07-29	4C	106	7.1	10.66	32.643378136781536	0.2139406476738483	152.7304	1	1	
2020	2020-07-29	4D	35	3.6	6.42	15.684493796380188	0.10496136393236977	150.3826	0	0	
2020	2020-07-29	5B	18	6.5	11.04	22.294441933276666	0.16397004660136882	135.9782	0	0	
2020	2020-07-29	5C	203	5.6	8.9	13.578311671186007	0.07704037140759484	176.2493	0	1	-0.4885968271893471
2020	2020-07-29	5D	270_20	4.1	7.04	4.734996189910271	0.06357191726588893	74.5645	0	0	
2020	2020-07-29	6A	128	10.3	10.08	23.68153756235844	0.2149748236509979	110.1543	0	0	
2020	2020-07-29	6C	81	7.7	13.459999999999999	23.798811972157704	0.2039856335609191	116.2291	1	1	
2020	2020-07-30	1A	227	19.1	16.34	8.905929434933068	0.10822993178667051	82.14587	0	1	1.201618744017382
2020	2020-07-30	1B	647	5.6	10.84	10.007395216699866	0.05113845060719376	195.2922	0	1	0.22044795925087857
2020	2020-07-30	1C	49	11.8	12.04	7.727565974099538	0.03548292029076846	217.6594	1	1	
2020	2020-07-30	1D	4	4.8	7.54	2.384645297713502	0.014259788569888023	167.2287	0	1	
2020	2020-07-30	2A	99	4.2	10.36	5.854605818494097	0.08551580139052747	70.11512	0	1	1.3106457016600876
2020	2020-07-30	2C	296	5.1	5.58	15.49252152343527	0.06586508491307408	235.197	0	1	-0.8038227938018325
2020	2020-07-30	2D	195	13.2	16.66	25.851104016942298	0.20238794279843705	127.6534	0	1	-0.12525201132632813
2020	2020-07-30	3A	648	4.9	6.68	19.206612268078445	0.09562234101176553	199.9755	1	1	
2020	2020-07-30	3B	835	9.5	10.54	16.813168136739325	0.0862262713552727	194.9889	0	1	
2020	2020-07-30	3C	149	7.2	12.959999999999999	7.1978610308167426	0.0505123800096824	143.8246	1	1	
2020	2020-07-30	3D	865	5.5	10.76	8.568200154136356	0.09346466367112338	91.70917	0	1	-0.41517813641677803
2020	2020-07-30	4A	92	8.9	14.9	8.722849656387549	0.1472408773088304	59.30696	0	1	-0.09037693562812306
2020	2020-07-30	4B	190	6.4	9.02	18.80536530343116	0.0886904501811586	212.0235	1	1	
2020	2020-07-30	4C	190	14.9	10.66	17.145700470317664	0.1828468725126315	93.78832	1	1	
2020	2020-07-30	4D	30	1.6	6.42	23.905066687377477	0.10908876046981525	219.1341	0	0	
2020	2020-07-30	5B	9	6.4	11.04	19.81816895353154	0.1282684359779688	154.5034			
2020	2020-07-30	5C	223	4.6	8.9	5.13912984186141	0.03289033987599809	156.2504	1	1	
2020	2020-07-30	5D	285	7.2	7.04	12.242150622645946	0.07134725566692873	171.5177	0	1	-0.6358394473831577
2020	2020-07-30	6A	126	4.8	10.08	15.625044351360513	0.10629213536297819	145.5444	0	0	
2020	2020-07-30	6C	79	6.1	13.459999999999999	11.60951772644001	0.08383004770808172	138.1878	0	1	0.517529646815306
2020	2020-07-31	1A	249	10.6	9.36	7.728192431554724	0.07995916294222534	96.65174	0	1	0.8521159671557865
2020	2020-07-31	1B	684	4.4	4.88	8.545520649395101	0.057758676886987825	148.2371	1	1	
2020	2020-07-31	1C	56	6.6	5.24	33.27445570685562	0.16564190008885266	200.8636			
2020	2020-07-31	1D	11	3.4	4.02	9.690654400711995	0.04932979245684929	196.0152	1	1	
2020	2020-07-31	4D	28	5.1	3.28	28.097999048767363	0.1353637692418172	207.6153	0	1	0.7098773422084116
2020	2020-07-31	6A	169	6.7	3.84	17.868927465542974	0.08656275828596721	206.448	0	1	
